reserved_od,service,region,type,multiaz,license,os/db,utilization,term,payment_type,price,upfront
ondemand,ec2,ap-northeast-1,r3.8xlarge,,,linux,,,,3.192,
ondemand,ec2,ap-northeast-1,i2.xlarge,,,linux,,,,1.001,
ondemand,ec2,ap-northeast-1,i2.2xlarge,,,linux,,,,2.001,
ondemand,ec2,ap-northeast-1,i2.4xlarge,,,linux,,,,4.002,
ondemand,ec2,ap-northeast-1,i2.8xlarge,,,linux,,,,8.004,
ondemand,ec2,ap-northeast-1,d2.xlarge,,,linux,,,,0.844,
ondemand,ec2,ap-northeast-1,d2.2xlarge,,,linux,,,,1.688,
ondemand,ec2,ap-northeast-1,d2.4xlarge,,,linux,,,,3.376,
ondemand,ec2,ap-northeast-1,d2.8xlarge,,,linux,,,,6.752,
ondemand,ec2,ap-southeast-2,t2.nano,,,linux,,,,0.01,
ondemand,ec2,ap-southeast-2,t2.micro,,,linux,,,,0.02,
ondemand,ec2,ap-southeast-2,t2.small,,,linux,,,,0.04,
ondemand,ec2,ap-southeast-2,t2.medium,,,linux,,,,0.08,
ondemand,ec2,ap-southeast-2,t2.large,,,linux,,,,0.16,
ondemand,ec2,ap-southeast-2,m4.large,,,linux,,,,0.168,
ondemand,ec2,ap-southeast-2,m4.xlarge,,,linux,,,,0.336,
ondemand,ec2,ap-southeast-2,m4.2xlarge,,,linux,,,,0.673,
ondemand,ec2,ap-southeast-2,m4.4xlarge,,,linux,,,,1.345,
ondemand,ec2,ap-southeast-2,m4.10xlarge,,,linux,,,,3.363,
ondemand,ec2,ap-southeast-2,m4.16xlarge,,,linux,,,,5.381,
ondemand,ec2,ap-southeast-2,m3.medium,,,linux,,,,0.093,
ondemand,ec2,ap-southeast-2,m3.large,,,linux,,,,0.186,
ondemand,ec2,ap-southeast-2,m3.xlarge,,,linux,,,,0.372,
ondemand,ec2,ap-southeast-2,m3.2xlarge,,,linux,,,,0.745,
ondemand,ec2,ap-southeast-2,c4.large,,,linux,,,,0.137,
ondemand,ec2,ap-southeast-2,c4.xlarge,,,linux,,,,0.275,
ondemand,ec2,ap-southeast-2,c4.2xlarge,,,linux,,,,0.549,
ondemand,ec2,ap-southeast-2,c4.4xlarge,,,linux,,,,1.097,
ondemand,ec2,ap-southeast-2,c4.8xlarge,,,linux,,,,2.195,
ondemand,ec2,ap-southeast-2,c3.large,,,linux,,,,0.132,
ondemand,ec2,ap-southeast-2,c3.xlarge,,,linux,,,,0.265,
ondemand,ec2,ap-southeast-2,c3.2xlarge,,,linux,,,,0.529,
ondemand,ec2,ap-southeast-2,c3.4xlarge,,,linux,,,,1.058,
ondemand,ec2,ap-southeast-2,c3.8xlarge,,,linux,,,,2.117,
ondemand,ec2,ap-southeast-2,g2.2xlarge,,,linux,,,,0.898,
ondemand,ec2,ap-southeast-2,g2.8xlarge,,,linux,,,,3.592,
ondemand,ec2,ap-southeast-2,x1.16xlarge,,,linux,,,,9.671,
ondemand,ec2,ap-southeast-2,x1.32xlarge,,,linux,,,,19.341,
ondemand,ec2,ap-southeast-2,r3.large,,,linux,,,,0.2,
ondemand,ec2,ap-southeast-2,r3.xlarge,,,linux,,,,0.399,
